city,date,aqi,pm2_5,pm10,no2,o3,temperature,humidity,hospital_admissions,population_density,hospital_capacity,year,month_num,month,year_month,capacity_utilization_pct,aqi_category
Los Angeles,2020-01-01,65,34.0,52.7,2.2,38.5,33.5,33,5,Rural,1337,2020,1,Jan,2020-01,0.37,Moderate
Beijing,2020-01-02,137,33.7,31.5,36.7,27.5,-1.6,32,4,Urban,1545,2020,1,Jan,2020-01,0.26,Unhealthy for Sensitive Groups
London,2020-01-03,266,43.0,59.6,30.4,57.3,36.4,25,10,Suburban,1539,2020,1,Jan,2020-01,0.65,Very Unhealthy
Mexico City,2020-01-04,293,33.7,37.9,12.3,42.7,-1.0,67,10,Urban,552,2020,1,Jan,2020-01,1.81,Very Unhealthy
Delhi,2020-01-05,493,50.3,34.8,31.2,35.6,33.5,72,9,Suburban,1631,2020,1,Jan,2020-01,0.55,Hazardous
Cairo,2020-01-06,28,67.2,44.9,41.9,47.8,7.9,89,11,Urban,1291,2020,1,Jan,2020-01,0.85,Good
Los Angeles,2020-01-07,217,29.0,63.7,22.3,56.0,27.7,22,8,Urban,1852,2020,1,Jan,2020-01,0.43,Very Unhealthy
Los Angeles,2020-01-08,449,60.8,56.2,40.0,18.1,26.3,46,14,Urban,350,2020,1,Jan,2020-01,4.0,Hazardous
Delhi,2020-01-09,342,44.9,63.4,31.0,34.9,28.0,34,7,Urban,878,2020,1,Jan,2020-01,0.8,Hazardous
Beijing,2020-01-10,279,27.1,101.0,47.8,42.2,-2.1,24,8,Urban,179,2020,1,Jan,2020-01,4.47,Very Unhealthy
Beijing,2020-01-11,484,56.6,46.3,33.2,27.3,27.9,62,9,Urban,600,2020,1,Jan,2020-01,1.5,Hazardous
Tokyo,2020-01-12,472,44.7,56.6,35.1,31.1,9.4,26,5,Suburban,154,2020,1,Jan,2020-01,3.25,Hazardous
Mexico City,2020-01-13,276,46.3,50.5,32.8,52.6,24.7,53,11,Rural,1042,2020,1,Jan,2020-01,1.06,Very Unhealthy
London,2020-01-14,290,0.4,43.0,25.3,55.8,8.8,33,3,Urban,989,2020,1,Jan,2020-01,0.3,Very Unhealthy
Beijing,2020-01-15,475,45.0,47.6,38.5,54.6,10.4,76,6,Urban,1461,2020,1,Jan,2020-01,0.41,Hazardous
Delhi,2020-01-16,423,34.2,31.4,36.1,32.8,24.7,70,5,Urban,1472,2020,1,Jan,2020-01,0.34,Hazardous
Mexico City,2020-01-17,269,41.3,46.0,22.9,39.7,-4.7,74,10,Urban,1337,2020,1,Jan,2020-01,0.75,Very Unhealthy
Delhi,2020-01-18,475,44.4,34.8,41.4,67.2,25.4,27,10,Suburban,1374,2020,1,Jan,2020-01,0.73,Hazardous
London,2020-01-19,34,41.5,17.3,40.3,44.4,2.5,35,8,Urban,893,2020,1,Jan,2020-01,0.9,Good
Mexico City,2020-01-20,234,42.3,47.3,17.2,43.7,34.4,36,11,Urban,1508,2020,1,Jan,2020-01,0.73,Very Unhealthy
Los Angeles,2020-01-21,402,47.0,13.8,29.2,30.8,30.3,84,8,Rural,1785,2020,1,Jan,2020-01,0.45,Hazardous
Beijing,2020-01-22,164,31.1,66.1,20.2,31.9,5.1,69,8,Suburban,1500,2020,1,Jan,2020-01,0.53,Unhealthy
Cairo,2020-01-23,429,61.3,43.2,30.1,37.8,35.3,28,8,Urban,1041,2020,1,Jan,2020-01,0.77,Hazardous
Tokyo,2020-01-24,161,44.4,51.6,25.3,15.0,28.5,86,7,Urban,89,2020,1,Jan,2020-01,7.87,Unhealthy
Los Angeles,2020-01-25,385,24.0,31.5,28.1,29.6,-2.6,23,3,Urban,1187,2020,1,Jan,2020-01,0.25,Hazardous
Delhi,2020-01-26,184,40.3,57.1,15.6,45.1,6.6,36,8,Urban,59,2020,1,Jan,2020-01,13.56,Unhealthy
Beijing,2020-01-27,382,19.5,33.3,24.8,44.1,9.2,38,7,Urban,1852,2020,1,Jan,2020-01,0.38,Hazardous
Delhi,2020-01-28,132,47.1,51.1,23.4,48.0,-3.5,91,9,Suburban,1866,2020,1,Jan,2020-01,0.48,Unhealthy for Sensitive Groups
Delhi,2020-01-29,169,19.8,30.1,40.8,58.8,32.2,62,15,Urban,1099,2020,1,Jan,2020-01,1.36,Unhealthy
Mexico City,2020-01-30,470,32.6,37.0,39.7,37.0,5.0,20,7,Suburban,892,2020,1,Jan,2020-01,0.78,Hazardous
Los Angeles,2020-01-31,388,30.6,53.8,10.7,13.3,-1.4,36,10,Urban,1228,2020,1,Jan,2020-01,0.81,Hazardous
Cairo,2020-02-01,263,47.4,63.0,32.0,60.2,33.1,25,16,Urban,881,2020,2,Feb,2020-02,1.82,Very Unhealthy
Beijing,2020-02-02,52,23.5,17.0,44.7,43.0,12.1,65,8,Urban,177,2020,2,Feb,2020-02,4.52,Moderate
Beijing,2020-02-03,302,41.5,52.9,14.9,55.5,6.5,45,9,Rural,1789,2020,2,Feb,2020-02,0.5,Hazardous
Beijing,2020-02-04,204,14.8,43.5,10.2,31.3,28.3,35,5,Urban,1426,2020,2,Feb,2020-02,0.35,Very Unhealthy
Delhi,2020-02-05,34,51.0,35.6,43.8,39.7,7.7,84,14,Urban,462,2020,2,Feb,2020-02,3.03,Good
Delhi,2020-02-06,124,34.5,76.4,18.0,17.1,29.1,53,7,Urban,261,2020,2,Feb,2020-02,2.68,Unhealthy for Sensitive Groups
Beijing,2020-02-07,441,29.1,60.6,27.1,43.1,18.6,91,11,Suburban,1334,2020,2,Feb,2020-02,0.82,Hazardous
Delhi,2020-02-08,361,38.2,58.3,46.9,45.4,16.7,42,12,Suburban,1996,2020,2,Feb,2020-02,0.6,Hazardous
Mexico City,2020-02-09,40,39.4,24.4,10.0,36.6,14.4,43,2,Suburban,1108,2020,2,Feb,2020-02,0.18,Good
Beijing,2020-02-10,378,27.7,76.6,43.5,38.9,39.1,30,8,Urban,1500,2020,2,Feb,2020-02,0.53,Hazardous
London,2020-02-11,257,59.1,49.7,37.6,59.3,34.7,47,7,Urban,637,2020,2,Feb,2020-02,1.1,Very Unhealthy
Los Angeles,2020-02-12,422,51.0,31.0,22.2,30.1,12.0,77,4,Urban,968,2020,2,Feb,2020-02,0.41,Hazardous
Beijing,2020-02-13,432,10.7,38.6,31.6,47.1,-2.0,69,9,Urban,784,2020,2,Feb,2020-02,1.15,Hazardous
London,2020-02-14,347,36.3,81.2,34.1,40.1,10.3,44,6,Urban,756,2020,2,Feb,2020-02,0.79,Hazardous
London,2020-02-15,52,31.3,78.5,31.6,28.8,-0.4,27,16,Urban,1183,2020,2,Feb,2020-02,1.35,Moderate
Beijing,2020-02-16,93,5.8,77.8,33.4,57.8,5.1,39,11,Urban,981,2020,2,Feb,2020-02,1.12,Moderate
Delhi,2020-02-17,415,37.4,39.3,20.2,28.5,30.1,22,8,Suburban,775,2020,2,Feb,2020-02,1.03,Hazardous
Mexico City,2020-02-18,140,23.4,53.2,33.3,53.0,26.4,21,10,Rural,342,2020,2,Feb,2020-02,2.92,Unhealthy for Sensitive Groups
Delhi,2020-02-19,357,33.0,26.0,36.1,36.0,27.9,86,9,Rural,1679,2020,2,Feb,2020-02,0.54,Hazardous
Delhi,2020-02-20,265,40.6,49.5,34.8,35.0,27.0,56,16,Suburban,514,2020,2,Feb,2020-02,3.11,Very Unhealthy
Delhi,2020-02-21,270,46.1,25.5,32.1,26.4,10.7,76,12,Suburban,1944,2020,2,Feb,2020-02,0.62,Very Unhealthy
Los Angeles,2020-02-22,326,39.8,60.3,25.0,62.4,25.7,43,8,Suburban,1773,2020,2,Feb,2020-02,0.45,Hazardous
Mexico City,2020-02-23,167,1.8,61.1,28.5,34.3,38.7,80,4,Urban,1777,2020,2,Feb,2020-02,0.23,Unhealthy
Los Angeles,2020-02-24,235,34.9,32.9,24.8,33.9,38.0,26,6,Rural,1830,2020,2,Feb,2020-02,0.33,Very Unhealthy
Los Angeles,2020-02-25,362,8.5,46.9,28.6,38.8,36.8,49,6,Suburban,1954,2020,2,Feb,2020-02,0.31,Hazardous
Beijing,2020-02-26,386,19.1,36.9,13.8,43.8,35.0,43,8,Urban,1098,2020,2,Feb,2020-02,0.73,Hazardous
Mexico City,2020-02-27,470,63.7,27.6,30.2,40.9,20.3,75,13,Suburban,360,2020,2,Feb,2020-02,3.61,Hazardous
