,aqi,pm2_5,pm10,no2,o3,temperature,humidity,hospital_admissions,hospital_capacity,capacity_utilization_pct
aqi,1.0,0.0029,0.0019,0.0027,-0.0018,-0.0044,-0.0031,-0.0004,0.0046,-0.0009
pm2_5,0.0029,1.0,-0.0001,0.0049,-0.0008,-0.0062,0.0028,0.3923,0.0027,0.1178
pm10,0.0019,-0.0001,1.0,0.0037,0.0012,-0.0015,0.0062,0.0005,0.0008,-0.0
no2,0.0027,0.0049,0.0037,1.0,-0.0007,0.003,0.0051,0.0013,0.006,-0.0009
o3,-0.0018,-0.0008,0.0012,-0.0007,1.0,-0.0,-0.0044,-0.003,-0.0041,0.0013
temperature,-0.0044,-0.0062,-0.0015,0.003,-0.0,1.0,-0.0046,-0.0038,0.0067,-0.0088
humidity,-0.0031,0.0028,0.0062,0.0051,-0.0044,-0.0046,1.0,0.0,0.0061,-0.003
hospital_admissions,-0.0004,0.3923,0.0005,0.0013,-0.003,-0.0038,0.0,1.0,0.0015,0.2988
hospital_capacity,0.0046,0.0027,0.0008,0.006,-0.0041,0.0067,0.0061,0.0015,1.0,-0.5694
capacity_utilization_pct,-0.0009,0.1178,-0.0,-0.0009,0.0013,-0.0088,-0.003,0.2988,-0.5694,1.0
